
Name	Chinese	Taiwanese	Hakka	Code
Songjiang Nanjing	松江南京	Siông-kang Lâm-kiaⁿ	Chhiùng-kông Nàm-kîn	O08/G15
Songshan	松山	Siông-san	Chhiùng-sân	G19
Songshan Airport	松山機場	Siông-san Ki-tiûⁿ	Chhiùng-sân Kî-chhòng	BR13
St. Ignatius High School	徐匯中學	Chhî-hōe Tiong-ha̍k	Chhî-fi Chûng-ho̍k	O52
Sun Yat-Sen Memorial Hall	國父紀念館	Kok-hū Kì-liām-koán	Koet-fu Ki-ngiam-kón	BL17
Taipei 101 / World Trade Center	台北101/世貿	Tâi-pak 101/Sè bō͘	Thòi-pet 101/Sṳ Mo	R03
Taipei Arena	台北小巨蛋	Tâi-pak Sió-kī-tàn	Thòi-pet Seú-ki-thàn	G17
Taipei Bridge	台北橋	Tâi-pak-kiô	Thòi-pet-khiâu	O13
Taipei City Hall	市政府	Chhī-chèng-hú	Sṳ-chṳn-fú	BL18
Taipei Main	台北車站	Tâi-pak Chhia-chām	Thòi-pet Chhâ-chhàm	R10/BL12
Taipei Nangang Exhibition Center	南港展覽館	Lâm-káng Tián-lám-koán	Nàm-kóng Chán-lám-kón	BR24/BL23
Taipei Zoo	動物園	Tōng-bu̍t-hn̂g	Thung-vu̍t-yèn	BR01
Taipower Building	台電大樓	Tâi-tiān Tōa-lâu	Thòi-thien Thai-leù	G08
Tamsui	淡水	Tām-chúi	Thâm-súi	R28
Technology Building	科技大樓	Kho-ki Tōa-lâu	Khô-kî Thai-lèu	BR08
Touqianzhuang	頭前莊	Thâu-chêng-chng	Theù-chhièn-chông	O17
Tucheng	土城	Thô͘-siâⁿ	Thú-sàng	BL03
Wanfang Community	萬芳社區	Bān-hong Siā-khu	Van-fông Sa-khî	BR03
Wanfang Hospital	萬芳醫院	Bān-hong Pēⁿ-īⁿ	Van-fông Phiang-yen	BR04
Wanlong	萬隆	Bān-liông	Van-lùng	G06
Wende	文德	Bûn-tek	Vùn-tet	BR18
Xiangshan	象山	Chhiūⁿ-soaⁿ	Siong-sân	R02
Xianse Temple	先嗇宮	Sian-sek-kiong	Siên-sep-kiûng	O16
Xiaobitan	小碧潭	Sió-phek-thâm	Seú-pit-thàm	G03A
Xiaonanmen	小南門	Sió-lâm-mn̂g	Seú-nàm-mùn	G11
Xihu	西湖	Se-ô͘	Sî-fù	BR16
Ximen	西門	Se-mn̂g	Sî-mùn	G12/BL11
Xinbeitou	新北投	Sin-pak-tâu	Sîn-pet-thèu	R22A
Xindian	新店	Sin-tiàm	Sîn-tiam	G01
Xindian District Office	新店區公所	Sin-tiàm Khu-kong-só͘	Sîn-tiam-khî-kûng-só	G02
Xingtian Temple	行天宮	Hêng-thian-kiong	Hàng-thiên-kiûng	O09
Xinhai	辛亥	Sin-hāi	Sin-hāi	BR05
Xinpu	新埔	Sin-po͘	Sîn-phû	BL08
Xinyi Anhe	信義安和	Sìn-gī An-hô	Sin-ngi Ôn-fò	R04
Xinzhuang	新莊	Sin-chng	Sîn-chông	O18
Yongan Market	永安市場	Éng-an Chhī-tiûⁿ	Yún-ôn Sṳ-chhòng	O03
Yongchun	永春	Éng-chhun	Yún-chhûn	BL19
Yongning	永寧	Éng-lêng	Yún-nèn	BL02
Yuanshan	圓山	Îⁿ-soa-á	Yèn-sân	R14
Zhishan	芝山	Chi-san	Chṳ-sân	R17
Zhongshan	中山	Tiong-san	Chûng-sân	R11/G14
Zhongshan Elementary School	中山國小	Tiong-san Kok-sió	Chûng-sân Koet-seú	O10
Zhongshan Junior High School	中山國中	Tiong-san Kok-tiong	Chûng-sân Koet-tsûng	BR12
Zhongxiao Dunhua	忠孝敦化	Tiong-hàu Tun-hoà	Chûng-hau Tûn-fa	BL16
Zhongxiao Fuxing	忠孝復興	Tiong-hàu Ho̍k-heng	Chûng-hau Fu̍k-hîn	BR10/BL15
Zhongxiao Xinsheng	忠孝新生	Tiong-hàu Sin-seng	Chûng-hau Sîn-sâng	O07/BL14
Zhongyi	忠義	Tiong-gī	Chûng-ngi	R24
Zhuwei	竹圍	Tek-ûi-á	Chuk-vì	R26
